run_root,project_rel,status,reason_training_ended,mode,experiment_name,run_name,model_name,data_root,dataset_backend,include_extra_train,pas_fusion_mode,pas_source,precomputed_pas_root,cont_in_variant,cont_in_stages,pas_sigma,pas_rho,pas_radius_scale,pas_binary,augment,label_smoothing,use_weighted_sampler,batch_size,num_workers,epochs_cfg,history_epochs,final_epoch,best_epoch,best_vad_epoch,optimizer_name,learning_rate,weight_decay,scheduler_name,scheduler_step_size,scheduler_gamma,device,use_amp,seed,grad_clip,evaluate_test_after_train,total_training_seconds,best_val_map,best_val_vad_error,best_epoch_train_loss,best_epoch_val_loss,best_epoch_train_map,best_epoch_val_map,best_epoch_train_vad_error,best_epoch_val_vad_error,test_epoch,test_total_loss,test_emotion_loss,test_vad_loss,test_precision,test_recall,test_f1,test_map,test_vad_error,test_vad_valence_l1,test_vad_arousal_l1,test_vad_dominance_l1,best_ap_class,best_ap_value,worst_ap_class,worst_ap_value
c:\Users\Gokhan\Desktop\PERI\peri_V1\outputs\runs\experimental\no_pas_push\no_pas_aug_ls01_s42_e6,peri_V1/outputs/runs/experimental/no_pas_push/no_pas_aug_ls01_s42_e6,completed,max_epochs_reached,experimental,no_pas_push,no_pas_aug_ls01_s42_e6,peri,C:\Users\Gokhan\Desktop\PERI\emotic,npy,False,none,none,,paper,"layer1,layer2,layer3,layer4",3.0,,2.0,True,True,0.1,False,32,4,6,6,6,4,4,adamw,0.0001,0.0001,onecycle,7,0.1,cuda,True,42,1.0,True,1120.5607063999996,0.38876105732292643,0.8010908762613932,3.7290767217611336,8.068686491648355,0.25147229608829114,0.38876105732292643,1.255348761876424,0.8010908762613932,6,6.574854675092195,6.106363903012192,0.9369815807593497,0.8169178794178794,0.19563120390826774,0.3156679135390254,0.2703909571874049,0.937135656674703,0.8935576677322388,0.9807997941970825,0.9370495080947876,Engagement,0.8442413199762434,Embarrassment,0.028303185175397802
c:\Users\Gokhan\Desktop\PERI\peri_V1\outputs\runs\experimental\pas_ablation\no_pas_s42_lr1e4_e3,peri_V1/outputs/runs/experimental/pas_ablation/no_pas_s42_lr1e4_e3,completed,max_epochs_reached,experimental,pas_ablation,no_pas_s42_lr1e4_e3,peri,C:\Users\Gokhan\Desktop\PERI\emotic,npy,False,none,none,,paper,"layer1,layer2,layer3,layer4",3.0,,2.0,True,False,0.0,False,32,4,3,3,3,2,3,adamw,0.0001,0.0001,onecycle,7,0.1,cuda,True,42,1.0,True,590.8186707999994,0.375539943958638,0.8147163391113281,5.27455566146157,10.321279271443684,0.16887613941348542,0.375539943958638,1.3256322940190632,0.8720073699951172,3,8.425087991513704,7.937059517492328,0.9760569438599703,0.8358074673864148,0.17344493885552478,0.2872751636344895,0.2651202190750078,0.9761896928151449,0.9484297633171082,0.9808571934700012,0.9992821216583252,Engagement,0.8537059521794834,Embarrassment,0.025018966089041035
c:\Users\Gokhan\Desktop\PERI\peri_V1\outputs\runs\experimental\pas_diag\late_pas_e3,peri_V1/outputs/runs/experimental/pas_diag/late_pas_e3,completed,max_epochs_reached,experimental,pas_diag,late_pas_e3,peri,C:\Users\Gokhan\Desktop\PERI\emotic,npy,False,late,precomputed,C:\Users\Gokhan\Desktop\PERI\emotic\pas,paper,"layer1,layer2,layer3,layer4",3.0,,2.0,True,False,0.0,False,32,4,3,3,3,3,3,adamw,0.0001,0.0001,onecycle,7,0.1,cuda,True,42,1.0,True,582.1375559000007,0.37794847867638703,0.8229279716809591,4.501717642685036,10.288070793151855,0.28117690012889485,0.37794847867638703,1.232490102450053,0.8229279716809591,3,8.458550218950238,7.983813693648891,0.9494730780522028,0.8171476137624861,0.1832778417400504,0.29940271953234215,0.26369915503226865,0.9497934977213541,0.9215562343597412,1.0003626346588135,0.9274616241455078,Engagement,0.8513941646842567,Embarrassment,0.026746546016612846
c:\Users\Gokhan\Desktop\PERI\peri_V1\outputs\runs\experimental\pas_fix_v2\precomputed_pas_probe_e3,peri_V1/outputs/runs/experimental/pas_fix_v2/precomputed_pas_probe_e3,completed,max_epochs_reached,experimental,pas_fix_v2,precomputed_pas_probe_e3,peri,C:\Users\Gokhan\Desktop\PERI\emotic,npy,False,cont_in,precomputed,C:\Users\Gokhan\Desktop\PERI\emotic\pas,paper,"layer1,layer2,layer3,layer4",3.0,,2.0,True,False,0.0,False,32,4,3,3,3,3,3,adamw,0.0001,0.0001,onecycle,7,0.1,cuda,True,42,1.0,True,657.6686225999947,0.37986194893044034,0.7985111276308695,4.832636038978379,10.28945250193278,0.23881342114713397,0.37986194893044034,1.2496816515922546,0.7985111276308695,3,8.438171221498857,7.964224026914229,0.9478944056389624,0.8305903669032161,0.17117341382207424,0.2838493292053664,0.265267905210852,0.9483413100242615,0.9062796235084534,1.009291172027588,0.9294531345367432,Engagement,0.8524321035706062,Embarrassment,0.03022683438876239
c:\Users\Gokhan\Desktop\PERI\peri_V1\outputs\runs\experimental\pas_fixed_lr_sweep\lr13e4_s44_e6,peri_V1/outputs/runs/experimental/pas_fixed_lr_sweep/lr13e4_s44_e6,completed,max_epochs_reached,experimental,pas_fixed_lr_sweep,lr13e4_s44_e6,peri,C:\Users\Gokhan\Desktop\PERI\emotic,npy,False,cont_in,precomputed,C:\Users\Gokhan\Desktop\PERI\emotic\pas,paper,"layer1,layer2,layer3,layer4",3.0,,2.0,True,False,0.0,False,32,4,6,6,6,4,2,adamw,0.00013,0.0001,onecycle,7,0.1,cuda,True,44,1.0,True,1206.3079241999949,0.3752822078235466,0.7955794135729471,4.670884523763285,10.682238337198893,0.2679319061714354,0.3752822078235466,1.253908673922221,0.851658046245575,6,8.750879149687918,8.260525341619525,0.980707679924212,0.8195976638546398,0.1572019790272894,0.26380512258165584,0.26166846780286745,0.981092631816864,0.9361971616744995,1.0215554237365723,0.9855253100395203,Engagement,0.8486236604900057,Embarrassment,0.03187408981564681
c:\Users\Gokhan\Desktop\PERI\peri_V1\outputs\runs\experimental\pas_fixed_lr_sweep\lr1e4_s42_e6,peri_V1/outputs/runs/experimental/pas_fixed_lr_sweep/lr1e4_s42_e6,completed,max_epochs_reached,experimental,pas_fixed_lr_sweep,lr1e4_s42_e6,peri,C:\Users\Gokhan\Desktop\PERI\emotic,npy,False,cont_in,precomputed,C:\Users\Gokhan\Desktop\PERI\emotic\pas,paper,"layer1,layer2,layer3,layer4",3.0,,2.0,True,False,0.0,False,32,4,6,6,6,3,6,adamw,0.0001,0.0001,onecycle,7,0.1,cuda,True,42,1.0,True,895.4990777999992,0.378775211559476,0.8209267656008402,5.1005979621565185,10.366190121968588,0.1973705167893719,0.378775211559476,1.2987425724665325,0.874127189318339,6,8.537668228149414,8.01070106866067,1.0539343694322987,0.8193762633554721,0.17658773376481937,0.2905562808796047,0.26322553799898707,1.0543676614761353,1.0049889087677002,1.093178153038025,1.0649359226226807,Engagement,0.8643317863389788,Embarrassment,0.031052471579082055
c:\Users\Gokhan\Desktop\PERI\peri_V1\outputs\runs\experimental\pas_fixed_lr_sweep\lr7e5_s43_e6,peri_V1/outputs/runs/experimental/pas_fixed_lr_sweep/lr7e5_s43_e6,completed,max_epochs_reached,experimental,pas_fixed_lr_sweep,lr7e5_s43_e6,peri,C:\Users\Gokhan\Desktop\PERI\emotic,npy,False,cont_in,precomputed,C:\Users\Gokhan\Desktop\PERI\emotic\pas,paper,"layer1,layer2,layer3,layer4",3.0,,2.0,True,False,0.0,False,32,4,6,6,6,5,1,adamw,7e-05,0.0001,onecycle,7,0.1,cuda,True,43,1.0,True,1181.2250098000004,0.3686871902592782,0.8126959602038065,4.163537473183173,10.498853670756022,0.32882637186512625,0.3686871902592782,1.1953030228614807,0.8391623099644979,6,8.639219595674883,8.155149139856038,0.9681409105919955,0.7911692794477204,0.17117341382207424,0.2814530570478383,0.2563237331698826,0.9685209194819132,0.9123662114143372,1.040334701538086,0.9528618454933167,Engagement,0.8417182471981646,Embarrassment,0.029082605075600412
c:\Users\Gokhan\Desktop\PERI\peri_V1\outputs\runs\experimental\pas_runtime_diag\runtime_pas_e3,peri_V1/outputs/runs/experimental/pas_runtime_diag/runtime_pas_e3,interrupted,keyboard_interrupt,experimental,pas_runtime_diag,runtime_pas_e3,peri,C:\Users\Gokhan\Desktop\PERI\emotic,npy,False,cont_in,runtime,,paper,"layer1,layer2,layer3,layer4",3.0,,2.0,True,False,0.0,False,32,0,3,0,0,,,adamw,0.0001,0.0001,onecycle,7,0.1,cuda,True,42,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
c:\Users\Gokhan\Desktop\PERI\peri_V1\outputs\runs\experimental\pas_runtime_diag\runtime_pas_e3_fix,peri_V1/outputs/runs/experimental/pas_runtime_diag/runtime_pas_e3_fix,completed,max_epochs_reached,experimental,pas_runtime_diag,runtime_pas_e3_fix,peri,C:\Users\Gokhan\Desktop\PERI\emotic,npy,False,cont_in,runtime,,paper,"layer1,layer2,layer3,layer4",3.0,,2.0,True,False,0.0,False,32,0,3,3,3,3,3,adamw,0.0001,0.0001,onecycle,7,0.1,cuda,True,42,1.0,True,697.826338800005,0.3747452959518556,0.7994571328163147,4.84678884357601,10.322562586466471,0.2375022335801402,0.3747452959518556,1.2507245540618896,0.7994571328163147,3,8.445957528917413,7.973719136756763,0.9444768522915087,0.8258713942307693,0.17104894669695367,0.2834016446266079,0.267035371033019,0.9447907010714213,0.9119604825973511,1.000295639038086,0.9221159815788269,Engagement,0.852343716762231,Embarrassment,0.028217574685817485
c:\Users\Gokhan\Desktop\PERI\peri_V1\outputs\runs\paper_faithful\paper_fix_v1\precomputed_pas_paper_cuda,peri_V1/outputs/runs/paper_faithful/paper_fix_v1/precomputed_pas_paper_cuda,completed,max_epochs_reached,paper_faithful,paper_fix_v1,precomputed_pas_paper_cuda,peri,C:\Users\Gokhan\Desktop\PERI\emotic,npy,False,cont_in,precomputed,C:\Users\Gokhan\Desktop\PERI\emotic\pas,paper,"layer1,layer2,layer3,layer4",3.0,,2.0,True,False,0.0,False,32,4,10,10,10,4,4,adamw,0.0001,0.0001,onecycle,7,0.1,cuda,False,42,1.0,True,1595.3064556000027,0.37694029982695604,0.7960659066836039,4.887919867193544,10.24239980061849,0.23379459848346815,0.37694029982695604,1.276886264483134,0.7960659066836039,10,8.487108673965722,8.009120769668044,0.9559757798387293,0.805152770585189,0.19351526278121792,0.31203431925942654,0.2628796837612078,0.9561641216278076,0.9136233925819397,1.0134156942367554,0.9414532780647278,Engagement,0.8478363162407824,Embarrassment,0.025751194951074873
